,nome-geografico,match,name,nome-vide,vide_type,lookup,faculdade,nome-pai,uc-entrada,match_error,match_obs
271719,Abreiro,,Abel de Mendonça Machado de Araújo,Abel de Mendonça,cut,Abel de Mendonça,,,0000-00-00,False,
271719,Mirandela,,Abel de Mendonça Machado de Araújo,Abel de Mendonça,cut,Abel de Mendonça,,,0000-00-00,False,
182548,Eiró,,Abel Xavier Teixeira de Magalhães,José Joaquim Xavier Teixeira de Magalhães,rep,José Joaquim Xavier Teixeira de Magalhães,Cursos jurídicos (Cânones ou Leis),,0000-00-00,False,
285686,Oliveira de Frades,,Abílio Ribeiro de Almeida Campos de Melo,Abílio Ribeiro de Almeida,cut,Abílio Ribeiro de Almeida,Cursos jurídicos (Cânones ou Leis),António de Almeida Silva Campos de Melo,0000-00-00,False,
285686,Pinheiro,,Abílio Ribeiro de Almeida Campos de Melo,Abílio Ribeiro de Almeida,cut,Abílio Ribeiro de Almeida,Cursos jurídicos (Cânones ou Leis),António de Almeida Silva Campos de Melo,0000-00-00,False,
286149,Amoreira da Gandra,,Adelino Pinto Tavares Ferrão de Mendonça,Ferrão,cut,Adelino Pinto Tavares Ferrão,,,0000-00-00,False,
226700,Marvão,,Adolfo Augusto Rôlo,Adolfo António Rôlo,rep,Adolfo António Rôlo,Medicina,,1871-06-06,False,
226683,Marvão,,Adolfo António Rôlo,Adolfo Augusto Zuzarte Rôlo,rep,Adolfo Augusto Zuzarte Rôlo,,,0000-00-00,False,
273326,Lisboa,,Adriano Ernesto de Castilho Barreto,Castilho,cut,Adriano Ernesto de Castilho,,,0000-00-00,False,
230176,Arcos,,Tomás Joaquim Lopes de Mariz e Silva,Adriano Joaquim Lopes Mariz e Silva Monteiro,rep+,Adriano Joaquim Lopes Mariz e Silva Monteiro,Cursos jurídicos (Cânones ou Leis),,0000-00-00,False,
230176,Aveiro,,Tomás Joaquim Lopes de Mariz e Silva,Adriano Joaquim Lopes Mariz e Silva Monteiro,rep+,Adriano Joaquim Lopes Mariz e Silva Monteiro,Cursos jurídicos (Cânones ou Leis),,0000-00-00,False,
250994,Arcos,,Adriano Joaquim de Mariz e Silva Monteiro,Tomás Joaquim Lopes de Maris e Silva,rep+,Tomás Joaquim Lopes de Maris e Silva,Cursos jurídicos (Cânones ou Leis),,1794-10-14,False,
250994,Aveiro,,Adriano Joaquim de Mariz e Silva Monteiro,Tomás Joaquim Lopes de Maris e Silva,rep+,Tomás Joaquim Lopes de Maris e Silva,Cursos jurídicos (Cânones ou Leis),,1794-10-14,False,
282429,,,Adriano Osório Pereira Gouveia,Adriano Osório Pereira Cerenato,rep,Adriano Osório Pereira Cerenato,,Salgueira,0000-00-00,False,
180061,Salgueiro,,João António Osório Pereira Gouveia,Adriano Osório Pereira Guerra,rep+,Adriano Osório Pereira Guerra,Cursos jurídicos (Cânones ou Leis),,1800-10-31,False,
180742,Salgueiro,,Adriano Osório Pereira Guerra,João António Pereira Cerenato,rep+,João António Pereira Cerenato,Leis,,1799-10-07,False,
296930,Almarge,,Adriano Sisnando Brotero de Avelar Quintino,Adriano Sisnando Brotero Quintino de Avelar,rep,Adriano Sisnando Brotero Quintino de Avelar,,,0000-00-00,False,
225520,Lisboa,,Adrião Pereira,Gomes,add,Adrião Pereira Gomes,Cânones,Adrião Dias,0000-00-00,False,
147465,Trancoso,,Afonso Tavares de Araújo,Afonso de Araújo Tavares,rep,Afonso de Araújo Tavares,,,0000-00-00,False,
248194,Braga,,Afonso Fernandes,,novid,Afonso Fernandes,Cânones,,0000-00-00,False,
251547,Baía,,Afonso Luís,da Fonseca,add,Afonso Luís da Fonseca,,,0000-00-00,False,
225529,Monção,,Afonso Pereira,Pimenta,add,Afonso Pereira Pimenta,,,0000-00-00,False,
129050,Elvas,,Afonso Rodrigues Caldas,Rodrigues,cut,Afonso Rodrigues,Leis,,1657-11-02,False,
221241,Elvas,,Afonso Sardinha,Afonso Vaz Sardinha,rep,Afonso Vaz Sardinha,Cânones,Gonçalo Rodrigues,1706-10-01,False,
